window,train_start,train_end,train_count,val_start,val_end,val_count,in_sample_pnl,oos_pnl,oos_return_pct,oos_max_drawdown_pct,oos_profit_factor,oos_expectancy,oos_calibration,oos_num_trades,oos_num_wins,oos_num_losses,oos_avg_net_edge,oos_win_rate_pct,params
0,1787126685.7211673,1787126685.7951672,1500,1787126685.7961674,1787126685.8201673,500,-26.73100319272089,-81.09597336807383,-0.8109597336807381,1.5978593161132284,0.18170024151444591,-9.67011660501518,0.28050107026646337,6,1,5,0.0826543332440103,16.666666666666664,{}
1,1787126685.7211673,1787126685.8201673,2000,1787126685.8211672,1787126685.8451674,500,-20.276873682352743,-94.42355647443583,-0.9442355647443582,1.995472635191647,0.40177720165547853,-4.558156303791953,0.24872190408902387,12,6,6,0.079865574839566,50.0,{}
2,1787126685.7211673,1787126685.8451674,2500,1787126685.8461673,1787126685.8701673,500,-62.25706422386247,37.75199900898588,0.37751999008985876,0.992592778867672,15.954332469409454,12.885198568271717,0.2527413804330205,2,1,1,0.08135814994695338,50.0,{}
3,1787126685.7211673,1787126685.8701673,3000,1787126685.8711674,1787126685.8951674,500,-80.99317547766623,-137.64350114881563,-1.3764350114881563,2.339760961392124,0.14336115942588357,-10.454937267764064,0.27334133126417015,8,2,6,0.079709034240771,25.0,{}
4,1787126685.7211673,1787126685.8951674,3500,1787126685.8961673,1787126685.9201672,500,-42.14470118052304,-158.72945453087414,-1.5872945453087415,1.9427574823979314,0.2537895680883176,-8.362721839875318,0.26252711086120706,11,4,7,0.08045301282798784,36.36363636363637,{}
5,1787126685.7211673,1787126685.9201672,4000,1787126685.9211674,1787126685.9451673,500,-57.46898525851975,-21.313997923361967,-0.21313997923361966,1.8834448722990826,0.488711898617499,-2.231852805280688,0.26653807878951036,3,1,2,0.07986433232703918,33.33333333333333,{}
6,1787126685.7211673,1787126685.9451673,4500,1787126685.9461672,1787126685.9701674,500,31.90521134994742,28.50727460867165,0.2850727460867165,1.2943089854824024,0.0,-2.035860094954973,0.0,1,0,1,0.07917640681532978,0.0,{}
7,1787126685.7211673,1787126685.9701674,5000,1787126685.9711673,1787126685.9951673,500,-47.08536846959214,21.391263659003016,0.21391263659003018,1.5947407764619372,0.4085468212103303,-4.917242465666189,0.26467921009884265,6,2,4,0.08143443768447732,33.33333333333333,{}
8,1787126685.7211673,1787126685.9951673,5500,1787126685.9961674,1787126686.0201674,500,0.0,25.43876377790002,0.2543876377790002,1.3353621792930723,0.37210203738476944,-3.0289413368976352,0.2627751226060624,8,3,5,0.08199520487391983,37.5,{}
9,1787126685.7211673,1787126686.0201674,6000,1787126686.0211673,1787126686.0451672,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,{}
